School Name,Full URL,Address,City,District,State,Phone,Email,Website
"97.Nasa Kids School, Dehradun",https://www.euttaranchal.com/pre-schools/nasa-kids-school-dehradun.php,"Gujrara Chowk, Sahastradhara Road,  Near I. T. Park, Dehradun, Uttaranchal, India - 248001","Dehradun, Uttarakhand",,,"0135-2607181, 9456512251","office@nasakidsindia.com, seema@nasakidsindia.com",www.nasakidsindia.com
"98.Naseeba Hill Academy, Dehradun",https://www.euttaranchal.com/schools/naseeba-hill-academy-dehradun.php,"Raipur road, Sunderwala, Dehradun -248001, Uttrakhand, India","Dehradun, Uttarakhand",,,"+91-0135- 6450754, +91-0135- 6450293","info@naseebahillacademy.com, nha@naseebahillacademy.com",www.naseebahillacademy.com
99.New Doon Blossoms School Dehradun,https://www.euttaranchal.com/schools/new-doon-blossoms-school-dehradun.php,"Chak Danda Lakhond, Sahastradhara Road, Kandoli, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,+91-8881212703,newdoonblossoms@rediffmail.com,https://www.dbeducationalsociety.com
"100.North Point Children's Academy, Dehradun",https://www.euttaranchal.com/schools/north-point-children-academy-dehradun.php,"50,Tapkeshwar Road, Garhi Cantt., Dehradun Uttrakhand, 248003",Dehradun,Dehradun,Uttarakhand,"+91-9456311713,+91-9837203113",northpointdehradun@gmail.com,www.northpointdoon.org
"101.Olympus High School, Dehradun",https://www.euttaranchal.com/schools/olympus-high-school-dehradun.php,"Opp PCF Godown, PO- Majra, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"+91-9027292711 ,+91 9639993414",info@olympushigh.in,http://olympushigh.in/
"102.Om Vidya Mandir School, Dehradun",https://www.euttaranchal.com/schools/om-vidya-mandir-school-dehradun.php,"17/2 West Rest Camp, Tyagi Road, 5 mins Walk from Dehradun Railway Station, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,"+ 91 - 0135 - 2621570, + 91 - 8979029159, + 91 - 9410550637",om.vidya.mandir.1973@gmail.com,
"103.Oxford School Of Excellence, Dehradun",https://www.euttaranchal.com/schools/oxford-school-excellence-dehradun.php,"5, Municipal Rd, Dalanwala, Dehradun, Uttarakhand 248001","Dehradun, Uttarakhand",,,"7505097861,8218347147",info@oxfordschoolofexcellence.com,www.oxfordschoolofexcellence.com
"104.Pestle Weed School, Dehradun",https://www.euttaranchal.com/schools/pestle-weed-college.php,"Oak Hill Estate, Mussoorie Diversion Road, Dehradun, Uttarakhand","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-0135-2734336, +91-9760099309","pestleweed_2k@yahoo.com, info@thepestleweedschool.com",https://thepestleweedschool.com/
105.Pine Hall School Dehradun,https://www.euttaranchal.com/schools/pine-hall-school-dehradun.php,"28, Rajpur Road, Dehradun -248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"+91-0135-2742232, 2749115",pinehall1@indiatimes.com,www.pinehall.in
"106.Raja Rammohan Roy Academy, Dehradun",https://www.euttaranchal.com/schools/raja-rammohan-roy-academy-dehradun.php,"Saharanpur Road, Near ISBT, Dehradun - 248171, Uttarakhand , India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,+91-(135) 2640544,rammohanroyacademy@gmail.com,http://rajarammohanroyacademy.com/
"107.S N Memorial Public School, Dehradun",https://www.euttaranchal.com/schools/s-n-memorial-public-school-dehradun.php,"Dehradun Road, Village Bhauwala, Via Prem Nagar, Dehradun Uttarakhand 248007 India","Dehradun, Uttarakhand",,,"7055504876, 9411110661",snmemorialpublicschool@gmail.com,www.snmemorialpublicschool.com/
"108.Saigrace Academy International, Dehradun",https://www.euttaranchal.com/schools/saigrace-academy-international-dehradun.php,"Near Shiv Mandir, Raipur Road, Raipur, Dehradun - 248001, Uttarakhand","Dehradun, Uttarakhand",,,0135-2789949,samsaigrace@gmail.com,www.saigraceacademy.com
"109.Sanfort Preschool, Dehradun",https://www.euttaranchal.com/pre-schools/sanfort-preschool-dehradun.php,"83/1, Ground Floor, Panditwari Phase-2, Near Vasant Vihar, Dehradun - 248001, Uttarakhand","Dehradun, Uttarakhand",,,"+91-9410095695, 8273343262",panditwadi@sanfortschools.com,panditwadi.sanfortschools.com
"110.Sanskar International School, Dehradun",https://www.euttaranchal.com/schools/sanskar-international-school-dehradun.php,"Badripore (Jogiwala),  Haridwar Road, Dehradun, India - 248005.","Dehradun, Uttarakhand",,,"+91-9930512993,+91-9193332605",info@sisdoon.com,www.sisdoon.com
"111.Saraswati Vidya Mandir Keshav Vidyapeeth, Dehradun",https://www.euttaranchal.com/schools/saraswati-vidya-mandir-keshav-vidyapeeth-dehradun.php,"Manduwala (Near Dolphin College), Premnagar, Dehradun - 248007, Uttarakhand",Dehradun,Dehradun,Uttarakhand,"+ 91 - 9410552256, 7500017416",svmsss@yahoo.com,www.svmdehradun.ac.in
"112.Scholars Home, Dehradun",https://www.euttaranchal.com/schools/scholars-home-dehradun.php,"153, Rajpur Road, Dehradun, Uttarakhand","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"(91)-135-2734337, 2654935","scholarshome1949@gmail.com, shome@bsnl.in, contactus@scholarshome.com",www.scholarshome.com
"113.Seven Oaks School, Dehradun",https://www.euttaranchal.com/schools/seven-oaks-school-dehradun.php,"332 Garhi Cantonment, Dehradun - 248001 Uttarakhand, India","Dehradun, Uttarakhand",,,+91-135-2750882,sevenoaksschool@gmail.com,www.sevenoaksschool.org.in
"114.SHEMROCK Doon, Dehradun",https://www.euttaranchal.com/schools/shemrock-doon-dehradun.php,"171, Mandir lane, South Vanasthali, Ballupur Chowk, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"0135 - 2759471, 9412954575",info@doon.shemrock.com,www.doon.shemrock.com
"115.SHEMROCK Little World, Dehradun",https://www.euttaranchal.com/schools/shemrock-world-dehradun.php,"73 B, Bhagirathpuram, Jakhan, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,+ 91 - 8439574500,littleworld@shemrock.com,www.littleworld.shemrock.com
"116.SHEMROCK Motherland, Dehradun",https://www.euttaranchal.com/schools/shemrock-motherland-dehradun.php,"Baronwala, Arcadia Grant, Shimla Bypass, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,"+ 91 - 9927007914, 9760675987",motherland@shemrock.com,www.motherland.shemrock.com
"117.SHEMROCK Navchetan, Dehradun",https://www.euttaranchal.com/schools/shemrock-navchetan-dehradun.php,"190/4, Kalidas Road, Near IIRS Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,"0135 - 2741345, 8191012345, 8192012345",info@navchetan.shemrock.com,www.navchetan.shemrock.com
"118.SHEMROCK Primary Hills, Dehradun",https://www.euttaranchal.com/schools/shemrock-hills-dehradun.php,"219, Park Road, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,"0135-2721634, 9760799669, 9557015982",hills@shemrock.com,www.shemrockhills.com
"119.SHEMROCK Primary Roots, Dehradun",https://www.euttaranchal.com/schools/shemrock-primary-roots-dehradun.php,"11, Turner Road, Clementown, Dehradun - 248002, Uttarakhand, India","Dehradun, Uttarakhand",,,+ 91 - 9997466775,info@roots.shemrock.com,www.roots.shemrock.com
"120.SHEMROCK Rainbow, Dehradun",https://www.euttaranchal.com/schools/shemrock-rainbow-dehradun.php,"491, Indra Nagar Colony, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"0135 - 2760337, 9837162460",info@rainbow.shemrock.com,www.rainbow.shemrock.com
"121.SHEMROCK Rainbow2, Dehradun",https://www.euttaranchal.com/schools/shemrock-rainbow2-dehradun.php,"Mauja Lane No. 1, Vishnupuram, Mothrawala Road, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,+ 91 - 9458116161,info@rainbow2.shemrock.com,www.rainbow2.shemrock.com
"122.SHEMROCK Sunshine, Dehradun",https://www.euttaranchal.com/schools/shemrock-sunshine-dehradun.php,"56-D, Race Course, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"+ 91 - 9997485774, 9368056089",info@sunshine.shemrock.com,www.sunshine.shemrock.com
"123.Shigally Hills International Academy, Dehradun",https://www.euttaranchal.com/schools/shigally-hills-international-academy-dehradun.php,"P.O.Box No. 239, Doon Valley, Shigally Estate, Mussoorie Road, Via Malsi Deer Park, Guniyal Gaon, Dehradun. Uttarakhand - 248001","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-98370-98363 , +91-98370-98368",shigally2011@gmail.com,www.shigallyhill.com
"124.Shikshankur The Global School, Dehradun",https://www.euttaranchal.com/schools/shikshankur-school-dehradun.php,"Near ISBT, Haridwar Bypass Road, Dehradun - 248001, Uttarakhand",Dehradun,Dehradun,Uttarakhand,"+91 - 9997756666, 9105366667",admissions@shikshankur.edu.in,www.shikshankur.com
"125.Shivalik Academy, Selaqui",https://www.euttaranchal.com/schools/shivalik-academy-selaqui.php,"Rajawala Road, Selakui, Dehradun - 248197 Uttarakhand India","Dehradun, Uttarakhand",,,"+91-0135-6543755, +91-7217217788",shivalik.academy@yahoo.co.in,www.shivalikacademy.co.in
"126.Shiwalik International School, Dehradun",https://www.euttaranchal.com/schools/shiwalik-international-school-dehradun.php,28/32 Saharanpur Road Dehradun (Uttarakhand)-248001,"Dehradun, Uttarakhand",,,"(0135) 2722365, 2724964, 09897406663, 09897406663",info@shiwalikintschool.org,www.shiwalikintschool.org
127.Shri Guru Ram Rai Public School Dehradun,https://www.euttaranchal.com/schools/shri-guru-ram-rai-public-school-dehradun.php,"Patel Nagar, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,"0135-2624619, 0135-2724531",ptn.sgrr@gmail.com,http://www.sgrrpatelnagar.com/
"128.Shri Ram Centennial School, Dehradun",https://www.euttaranchal.com/schools/shri-ram-centennial-school-dehradun.php,"Knowledge Village, Sherpur, Shimla Road, Dehradun-248197, Uttarakhand","Dehradun, Uttarakhand",Dehradun,Uttarakhand,+91-8979958111,promo@srcsdoon.com,www.srcsdoon.com
"129.SLM Public School, Dehradun",https://www.euttaranchal.com/schools/slm-public-school-dehradun.php,"Badripur, Dehradun, Uttarakhand","Dehradun, Uttarakhand",,,"9897934187, 9412997736",slmpublicschooldoon@gmail.com,www.slmpublicschool.org.in
"130.Snow Flakes School, Dehradun",https://www.euttaranchal.com/schools/snow-flakes-school-dehradun.php,"94, Guru Road, Patel Nagar, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"0135 - 2729704, 9412075036","snowflakeschools@gmail.com, info@snowflakeschool.co.in, school@snowflakeschool.co.in",www.snowflakeschool.org
131.Social Baluni Public School,https://www.euttaranchal.com/schools/social-baluni-public-school.php,"Brahmanwala, Near Radhaswami Satsang Bhawan, By-Pass Road, Dehradun",Dehradun,Dehradun,Uttarakhand,"+91-8193000102, +91-9690108899, +91-9690038899","info@sbpsdoon.com, admission@sbpsdoon.com",https://www.sbpsdoon.com/
"132.Spring Hills School, Dehradun",https://www.euttaranchal.com/schools/spring-hills-school-dehradun.php,"176, Saket Colony, Ajabpur Kalan, Dehradun, Uttarakhand","Dehradun, Uttarakhand",,,0135-2673678,spring.hills.school@gmail.com,www.springhillsschool.in/
"133.St Kabeer Academy, Dehradun",https://www.euttaranchal.com/schools/st-kabeer-academy-dehradun.php,"Miyanwala Chowk, Haridwar Rd, Harrawala, Dehradun, Uttarakhand 248005","Dehradun, Uttarakhand",,,0135 2688883-5 | 2688855,stkabeeracademy@yahoo.com,http://www.stkabeeracademy.in/
"134.St Mary’s Convent Sr Sec School, Vikasnagar",https://www.euttaranchal.com/schools/st-marys-convent-sr-sec-school-vikasnagar.php,"Bypass Road, Near Kotwali, , Vikasnagar, Dehradun - 248198, Uttarakhand, India","Dehradun, Uttarakhand",,,+ 91 - 1360 - 253145,smcs_vkn2006@rediffmail.com,http://www.stmarysvikasnagar.org/
"Anne’s School, Dehradun",https://www.euttaranchal.com/schools/st-annes-school-dehradun.php,"A-Block, Nehru Colony Near Sanatan Dharm Mandir Haridwar Road, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,"+ 91 - 9720528907, 0135 - 2672929",sas.doon@gmail.com,www.stannesdehradun.com
Nursery School Dehradun,https://www.euttaranchal.com/pre-schools/st-nursery-school-dehradun.php,"19/6, Rajpur Road Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,0135 - 2654166,info@stnurseryschool.com,www.stnurseryschool.com
"137.Summer Valley School, Dehradun",https://www.euttaranchal.com/schools/summer-valley-school-dehradun.php,"18 Teg Bahadur Road, Dehradun - 248001, Uttarakhand, India.","Dehradun, Uttarakhand",,,"+91-0135-2673383  2678356, 2678355","summervalleyschool@gmail.com,  mainoffice@summervalleyschool.com",www.summervalleyschool.com
"138.Summerfield School, Dehradun",https://www.euttaranchal.com/schools/summerfield-school-dehradun.php,"Edon Bagh, West Hope Town, Herbertpur, Distt.-Dehradun PIN – 248142","Dehradun, Uttarakhand",,,01360-250268 / 09719146108,info@summerfielduk.com,www.summerfielduk.com
"139.Sunrise Academy, Dehradun",https://www.euttaranchal.com/schools/sunrise-academy-dehradun.php,"Opposite DEAL, Raipur Road, Dehradun, Uttarakhand","Dehradun, Uttarakhand",,,0135- 2788059,sunriseacad@gmail.com,www.sunriseacademyuk.com
"140.The Altus International School, Dehradun",https://www.euttaranchal.com/schools/altus-international-school-dehradun.php,"Chakrata Road, Village-Rampur, Dehradun -248197, Uttarakhand","Dehradun, Uttarakhand",,,"8266055531, 8272055531",thealtusinternational@gmail.com,www.thealtusinternational.com
"141.The Arcadia School, Dehradun",https://www.euttaranchal.com/schools/the-arcadia-school-dehradun.php,"Village & P.O. Jhajra, Premnagar, Dehradun - 248007, Uttarakhand, India","Dehradun, Uttarakhand",,,"+ 91 - 9719253900, 0135 - 2102116",tasjhj001@yahoo.com,
"142.The Aryan School, Dehradun",https://www.euttaranchal.com/schools/the-aryan-school-dehradun.php,"Malsi - Greens, Dehradun - 248001, Uttarakhand","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91 8439311942, +91-135 -6630600, 2733066, 2736160",aryan@thearyanschool.com / principal@thearyanschool.com / mridula@thearyanschool.com,www.thearyanschool.com
143.The Bhagirathi International School,https://www.euttaranchal.com/schools/the-bhagirathi-international-school.php,"Kargi Road,(Near Narayan Vihar) Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,"+91-8193000102, +91-9690108899, +91-9690038899","info@sbpsdoon.com, admission@sbpsdoon.com",https://www.sbpsdoon.com/
"Sec. School, Dehradun",https://www.euttaranchal.com/schools/the-cambridge-sr-sec-school-dehradun.php,"Poundha Road ,Prem Nagar   Nanda Ki Choki-(2.8 Km from Nanda Ki Chowki), Dehradun (UK)","Dehradun, Uttarakhand",,,0135-2622487 /9219776668/7017813616,cambridge.sarthak@gmail.com,http://www.cambridgedoon.co.in/index.php
"145.The Doon Girls School, Dehradun",https://www.euttaranchal.com/schools/doon-girls-school-dehradun.php,"4, Circular Road, Dalanwala Dehradun - 248 001, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-8057888868, +91-135-2710161, +91-135-2712085, +91-135-2652429, +91-135-2713542,43,44","doongirlsschool@gmail.com, admission@thedoongirlsschool.com, info@thedoongirlsschool.com,",www.thedoongirlsschool.com
146.The Doon Grammar School Dehradun,https://www.euttaranchal.com/schools/doon-grammar-school-dehradun.php,"E-8 Koti Athurwala, Bhaniyawala, Dehradun-248140, Uttarakhand, India",Dehradun,Dehradun,Uttarakhand,0135-2410362,doongrammarschool@yahoo.in,http://doongrammarschool.edu.in
"147.The Heritage School, Dehradun",https://www.euttaranchal.com/schools/heritage-school-dehradun.php,"14/6-New Road,Dehradun, Uttarakhand,India","Dehradun, Uttarakhand",,,0135-2656155,heritageddn@gmail.com,www.theheritageschoolddn.com
"148.The Himalayan Public School, Dehradun",https://www.euttaranchal.com/schools/himalayan-public-school-dehradun.php,"Hardwar Saharanpur By Pass, Kargi Grant, Chander Vihar, P.O. Banjarawala Dehradun-248001 Uttarakhand (India)",Dehradun,,,"0135-2720362, 2722884",thehimalayanpublicschool@yahoo.com,http://thehimalayanpublicschool.com/
149.The Horizon School Dehradun,https://www.euttaranchal.com/schools/horizon-school-dehradun.php,"Near Sain Chowki Thano Road, Lower Jolly Grant, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,+91 7455055371,thehorizonschool@hotmail.com,http://horizonschooldun.com/
"150.The Indian Academy, Dehradun",https://www.euttaranchal.com/schools/indian-academy-dehradun.php,"Jogiwala, Mussoorie Bypass, Garhwali Colony, Near Dobhal Chowk, Nehru Gram, Dehradun, Uttarakhand","Dehradun, Uttarakhand",,,"+91 - 0135 - 2781919, 9997292442",theindianacademy@gmail.com,www.theindianacademy.com
"151.The Indian Cambridge School, Dehradun",https://www.euttaranchal.com/schools/the-indian-cambridge-school-dehradun.php,"12 Chander Road, Dalanwala, Dehradun - 248001, Uttarakhand","Dehradun, Uttarakhand",,,"0135-26541453, 07249909096","theics@live.in,  info@theindiancambridge.edu.in",www.theindiancambridge.edu.in
"152.The Indian Public School, Dehradun",https://www.euttaranchal.com/schools/indian-public-school-dehradun.php,"Mrityunjaydham, P.O. Rajawala, Via Premnagar, Dehradun - 248007, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"09568012776, 09568012778",info@indianpublicschool.com,www.indianpublicschool.com
"153.The Montessori School, Dehradun",https://www.euttaranchal.com/schools/the-montessori-school-dehradun.php,"14, Street No.1, Rajendra Nagar, Dehradun-248001, Uttarakhand, India","Dehradun, Uttarakhand",,,0135 - 2757168,info@themontessoridehradun.org,http://themontessoridehradun.com/
"154.The OASIS School, Dehradun",https://www.euttaranchal.com/schools/the-oasis-school-dehradun.php,"The OASIS, Sports City. New Raipur – Thano Airport Expressway, Raipur, Dehradun – 248008",Dehradun,Dehradun,Uttarakhand,"+91 7252919151, 7300701624",contactus@theoasisdoon.com,www.theoasisdoon.com
"155.The Poly Kids School, Dehradun",https://www.euttaranchal.com/pre-schools/poly-kids-school-dehradun.php,"26/2 Teg Bahadur Road, Lane No.4 Dalanwala, Dehradun, Uttarakhand","Dehradun, Uttarakhand",,,"0135-266-9377, 9897006426",info@thepolykids.com,http://www.thepolykids.com
"156.The Presidency International School, Dehradun",https://www.euttaranchal.com/schools/presidency-international-school.php,"Haridwar Road, Bhaniyawala, Dehradun - 248144, Uttarkhand","Dehradun, Uttarakhand",,,+91 - 8859005552,thepresidencyschool@gmail.com,www.thepresidencyschool.com
"157.The Royal College, Dehradun",https://www.euttaranchal.com/schools/the-royal-college-dehradun.php,"Rajawala, P.O Ashok Ashram, Yamnotri Road","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-9634058777, 9639645777",principal@royalcollege.in,www.royalcollege.in
"158.The Vivekananda School, Dehradun",https://www.euttaranchal.com/schools/vivekananda-school-dehradun.php,"Jogiwala, Haridwar Road (Near Celebration Garden), Dehradun – 248005, Uttarakhand, India","Dehradun, Uttarakhand",,,"0135 - 2666934, 6540118, (+91)- 8267 090 118",vivekanandaschool@yahoo.com,www.vivekanandaschool.edu.in
"159.Times World School, Dehradun",https://www.euttaranchal.com/schools/times-world-school-dehradun.php,"School Plot No. 1, Indira Nagar, Dehradun Uttarakhand 248001, India","Dehradun, Uttarakhand",,,"+91-8191888807, +91-9219516838",timesworldschool123@yahoo.com,https://timesworldschool.com/
"160.Touch Wood School, Dehradun",https://www.euttaranchal.com/schools/touch-wood-school-dehradun.php,"Danda Nooriwala, Sahastradhara Road, Dehradun, Uttarakhand","Dehradun, Uttarakhand",,,"91-7055449000, 0135 260 7359",twsddn@gmail.com,http://www.touchwoodschool.org/
161.Trinity High School Dehradun,https://www.euttaranchal.com/schools/trinity-high-school-dehradun.php,"Chakrata Road, Dhoolot, Selakui Uttarakhand",Dehradun,Dehradun,Uttarakhand,"+91-9719113798, 7579420459",,http://www.trinityhighschool.co.in/
162.Unison World School Dehradun,https://www.euttaranchal.com/schools/unison-world-school-dehradun.php,"Kirsali Greens, Mussoorie Diversion Road, P.O. Bhagawantpur, Dehradun - 248009, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91 135.7113000, +91 135.3000000  +91 98370 22222",admissions@uws.edu.in,www.uws.edu.in
"163.Universal Academy, Dehradun",https://www.euttaranchal.com/schools/universal-academy-dehradun.php,"Lane No: C-22, Turner Road, Clement Town, Dehradun - 248002, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-9568866888, +91-0135-2644101,2644102",universalacademydehradun@gmail.com,https://www.universalacademydehradun.edu.in/
"164.Utopia Primary School, Dehradun",https://www.euttaranchal.com/schools/utopia-primary-school-dehradun.php,"11, Nemi Road, Dalanwala, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,7088888856,"info@utopia.edu.in, utopiaprimaryschool@gmail.com",http://www.utopia.edu.in/
"165.Viverly Public School, Dehradun",https://www.euttaranchal.com/schools/viverly-public-school-dehradun.php,"144, Neshville Road, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,"+91-9837069968 ,9897015171",info@viverlypublicschool.com,www.viverlypublicschool.com
