Name,Affiliation,School Type,Institute Level,School Category,Institute Location,Starting Fee,Description
"77.Him Jyoti School, Dehradun",CBSE,Boarding School (Residential),,,,,"Him Jyoti School, Dehradun is a boarding girl's school located in a clean and calm environment of Dehradun valley. It is a charitable school for weaker sections of bright girls. Him Jyoti School is affiliated with CBSE. The school offers classes from V to XII."
78.Jaswant Modern School Dehradun,"CBSE, New Delhi",Boarding School (Residential),,,,,"Jaswant Modern School is affiliated to the Central Board of Secondary Education, (CBSE) Delhi. This Dehradun school is primarily meant to promote student's intelligence, self-reliance and discipline. Punctuality and cleanliness are given special significance in the curriculum. The school also encourages students to participate in sports and co-curricular activities. The crest of JMS is the Luminous Lotus. The Lotus symbolises purity of thought and action. The lamp signifies the light of kno"
79.Jimp Pioneer School Dehradun,CBSE,Day,,Co-Educational,,,"Jimp Pioneer School Dehradun is the best school in Dehradun. This CBSE school was established in 2003 in the foothills of the Shivalik Range and Pollution-free atmosphere of Arkadia-Grant Tea Estate Dehradun, near Indian Military Academy. This English medium school in Dehradun is a co-ed school in Dehradun."
80.Kay Cee Public School Dehradun,CISCE,Day,,Co-Educational,,,"Kay Cee Public School Dehradun was started in April 2001 with the aim of imparting knowledge, along with the personality development of the children. This best School in Dehradun has its name after the name of Late Mrs. Champawati Kashyap, wife of Late Mr. W.C. Kashyap, the Founder of the Children’s Academy Association."
81.Kelvin International School Dehradun,,Day,,Co-Educational,,,"Kelvin International School Dehradun is operated by Krish Mahesh Educational Society, society is recognized by Uttarakhand government. This day boarding school in Dehradun vision is to improve its traditional education pattern and make its students ready for global challenges.This day boarding school in Dehradun is using advanced technology in education to build confidence, imaginative thinking in each student. This best school in Dehradun mission is to provide students with 360-degree education"
82.Kendriya Vidyalayas In Dehradun,,,,,,,"Check out the list of Kendriya Vidyalayas in Dehradun with full address and contact details of all KVs in Dehradun. The KVs in Dehradun are among the popular choice for quality education in Dehradun. Among the most reputed KVs of Dehradun, ONGC and FRI Kendriya Vidyalayas are highly sought after by the parents for admission."
"83.Kinderpillar Preschool, Dehradun",,,,,,,"Kinderpillar Preschool is a one of best playschool in Dehradun with state of art facilities and fun learning curriculum. Kinderpillar Preschool is a part of chain of prestigious Ivy League Preschools and has made name for itself as one the most sought-after preschool in India. It is known for stimulating classroom environments, developmentally appropriate material and state-of-the-art equipment with providing a healthy learning experience for the child."
"84.Krayonz Preschool, Dehradun",,,,,,,Krayonz is a preschool located at Nehru Colony in Dehradun. The playschool focuses on nurturing the child and develope their creativity by providing high quality learning experience. The learning environment and caring attitude of staff able child to feel a homely atmosphere. This also helps child in expressive ability development.
85.Lakshya Public School Dehradun,CBSE,Day,,Co-Educational,,,"Lakshya Public School Dehradun is situated at Ganeshpur-Shimla Bypass Road, Dehradun. This CBSE school in Dehradun is an English Medium School in Dehradun.This Co-educational school in Dehradun laid its foundation in 2009 with a Motto of aim to excellence. This best CBSE school in Dehradun provides quality education and governed by Lakshya Educational & Public Welfare society 2005 (Regd.) It is recognized by Govt."
"86.Le Grand International School, Dehradun",CISCE,Day,,Co-Educational,,,Le Grand International School Dehradun proudly extended the quality of education to nurture the child for a bright and prospective future. This ICSE school in Dehradun in collaboration with Shri Educare Limited (SEL) adapts students for life skills and education.This best ICSE school in Dehradun is spread across 12 acres of land nestled amidst the greenest pastures in the education capital of the nation - THE DOON VALLEY. LGIS Dehradun holds a pleasant and pollution-free environment for learning
"87.Little Planet Pre School, Dehradun",,,,,,,"Little Planet Pre School, Dehradun is a pre school located near IT Park in Doon valley. The school is building the foundation of child by developing physical, intelluctual and spiritual sides of the kids along with basic formal education. A well researched curriculum is followed by the school and individual attention is given to child. The school offers Play Group, Nursery, LKG and UKG classes."
"88.Lucent International School, Dehradun",CBSE,Boarding School (Residential),,,,,"Lucent International School, Dehradun is a Senior Secondary English medium co-educational boarding school in Dehradun. It is affiliated with CBSE, New Delhi. Located at Suddhowala Dehradun, Lucent International School runs classes from Std Ist to Std XIIth on its campus."
89.Maa Anandmayee Memorial School Dehradun,"CISCE, New Delhi",Day Scholar,,,,,"Maa Anandmayee memorial school in Dehradun, Uttarakhand. It is a day-cum residential school. The staff is well qualified with trained and experienced teachers. The school has a friendly and peaceful environment with centrally focusing on education. Maa Anandmayee memorial school in Uttarakhand is affiliated with the ICSE Board, New Delhi. This Dehradun school is having a hostel and mess facility as well."
90.Maharishi Vidya Mandir Dehradun,"CBSE, New Delhi",Day Scholar,,,,,"Maharishi Vidya Mandir School in Dehradun is affiliated with Central Board of Secondary School (CBSE), New Delhi. Maharishi Vidya Mandir Schools have been established to introduce Maharishi Consciousness based Education System in mainstream of school education in India. Schools of Maharishi Vidya Mandir are spread over 16 states of India educating more than 1 lakh students. MVM School in Dehradun is one of the best schools of MVM groups of schools. Apart from education students also learn a"
"91.Manava Bharati India International School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"Manava Bharati India International School in Dehradun is an English medium co-educational school centrally situated in Dehradun. The school is affiliated with CBSE, New Delhi, and has the best infrastructure and academic facilities for running classes from Nursery to Class XII. A well qualified and dedicated faculty of the school is well known for effective teaching to students."
92.Marshall School Dehradun,"CISCE, New Delhi",Boarding School (Residential),,,,,"Marshall School is one of the leading educational institutes of Dehradun. Marshal School has complete arrangement and provision for imparting teaching and education from the K.G classes to class XII in all faculties - Science, Commerce and Humanities. The campus is spread over a vast expanse of over 55 bighas of land, surrounded with litchi orchards. This school in Uttarakhand also provides hostel facilities."
93.Max International School Dehradun,CBSE,Day,,Co-Educational,,,"Max International School Dehradun Uttarakhand was founded in 2006. Best CBSE day school in Dehradun provides education for children in different age groups, it is one of the best CBSE schools in Dehradun. This CBSE board school in Dehradun is a non-profit institution with charitable status. Funds generated by schools are utilized for the improvement of infrastructure development of academics and extracurricular facilities."
"94.Model School For Visually Handicapped, Dehradun","CBSE, New Delhi",Boarding School (Residential),,,,,"Model School for Visually Handicapped (MSVH) is a premier co-educational boarding school in Dehradun for visually handicapped/ blind/ partially blind children. The school runs under the aegis of NIVH (National Institute for the Empowerment of Persons with Visual Disabilities (Divyangjan)(Ministry of Social Justice & Empowerment, Govt. of India). This boarding school in Uttarakhand is affiliated to CBSE, New Delhi, and provides quality education to blind students from Nursery to Class XII. Th"
95.Moravian Institute Dehradun,"CISCE, New Delhi",Boarding School (Residential),,,,,"The Moravian Institute was registered in 1963 as a charity providing education to underprivileged students in Dehradun, India. Moravian Institute was founded by Br Eliyah Phunthsog whilst he was undertaking the revision of the New Testament in Tibetan for the Bible Society of India in the Dehradun district.The Moravian Institute is affiliated with Council for the Indian School Certificate Examinations (ICSE), Delhi. This School in Dehradun has its own hostel, school, and vocational training prog"
96.Mount Fort Academy Dehradun,ICSE New Delhi,Day Scholar,,,,,"Settled in the beautiful city of Dehradun, Mount Fort Academy is a well-known education center that was started in April 2000. This Dehradun school is based on the Vedic concept of “Aanobhadra kartvya Yantu Vishwatha” i.e. let the noble thoughts come to us from all sides. It follows the syllabuses of various subjects prepared for the ICSE & ISC curriculum (Affiliated to CISCE New Delhi)."
"97.Nasa Kids School, Dehradun",,,,,,,Nasa Kids school is kindergarten developing kids mental and physical abilities. The scholl is located in Sahastradhara road near I.T Park in Dehradun. Nasa Kids provides day care cum Kindergarten encouraging kids to take activities with valuable learning.
"98.Naseeba Hill Academy, Dehradun","ICSE, ISC",Boarding School (Residential),,,,,"Naseeba Hill Academy NHA is a boys boarding school in Dehradun. Affiliated to ICSE, New Delhi Naseeba Hill Academy is located in Dehradun surrounded by greens hills. NHA provides quality education with a modern approach of learning and runs classes from Class I to Class XII."
99.New Doon Blossoms School Dehradun,CISCE,Day,,Co-Educational,,,New Doon Blossoms School Dehradun affiliated to CISCE was set up in the year 2010 to cater to the growing needs of quality education in the city our curriculum is designed to help the children grow into an intelligent & responsible citizen of the country. This best school in Dehradun offers many opportunities are provided to the children to participate in co-curricular activities which provide a healthy competitive atmosphere to the students to realize the importance of sustained commit
"100.North Point Children's Academy, Dehradun",CISCE,Day Scholar,,Co-Educational,Garhi Cantt,,"North Point Children’s Academy, one of the best school in Dehradun, is a Co-Educational English medium school offering education from Play Group to Class XII. Established in April 1982, the school prides itself on its highly qualified and dedicated faculty members. The campus is designed to be eco-friendly, providing an atmosphere that promotes learning and growth. In addition to academic learning, the school focuses on shaping the moral character, discipline, and good habits of students"
"101.Olympus High School, Dehradun",CBSE,Boarding School (Residential),,,,,"Olympus High School in Dehradun is an English medium day cum residential co educational school located near FCI Godwon, Niranjanpur in the education city of Dehradun. It provides day boarding as well as residential facility and is governed by Dr. Gajendra Singh Pundeer Memorial Trust (Regd.)."
"102.Om Vidya Mandir School, Dehradun",State Board (CBSE Pattern),Day Scholar,,,,,Om Vidya Mandir School in Dehradun established in 1973 is registered and recognized by the Government of Uttarakhand. This school in Uttarakhand is idyllically situated in the lush green surroundings of Doon Valley. The revered institution has been providing quality education for 42 golden years. It has mentored great scholars and intellectuals who are doing well in their lives.
"103.Oxford School Of Excellence, Dehradun",C.I.S.C.E.,Boarding School (Residential),,,,,"Oxford School of Excellence is an English Medium day school for boys and girls in Dehra Dun, which is affiliated to the Council for the Indian School Certificate Examinations (C.I.S.C.E.) India. It provides comprehensive educational facilities for children from Playschool till Class XII."
"104.Pestle Weed School, Dehradun","CBSE, New Delhi",Boarding School (Residential),,Co-Educational,Mussoorie Road,"INR 4,50,000onwards","Pestle Weed College, established in 1992, is a co-educational, fully residential senior secondary school in Dehradun. The school is affiliated with the CBSE board, offering classes from Grades I to XII. The school is spread over a 50-acre campus set against the backdrop of a Sal forest and a historical stream, with stunning views of the Himalayan Ranges, creating an inspiring and tranquil learning environment. The school is committed to nurturing both academic excellence and personal growth, pro"
105.Pine Hall School Dehradun,CISCE,Boarding School (Residential),,,,,"Pine Hall School in Dehradun, Uttarakhand was established in the year 1967. The main motto of the Pine Hall School is to provide a full liberal and comprehensive education. This school in Uttarakhand not only focuses on educating students but also teaching them a sense of discipline, responsibility, initiative, self-reliance, integrity, and loyalty.Pine Hall School is affiliated with the Indian School Certificate Examinations (ICSE), New Delhi. Special Features of the Pine Hall School are Indivi"
"106.Raja Rammohan Roy Academy, Dehradun",ICSE & ISC,Boarding School (Residential),,Co-Educational,Subhash Nagar,"INR 48,000onwards","Raja Rammohan Roy Academy, located in the tranquil Clement Town of Dehradun, is a prestigious boarding and day scholar school. Spanning 12 acres, it offers education from nursery through 12th grade and is affiliated with the ICSE, New Delhi. Founded in 1950 by Shri A.C. Deb and renamed in 1978, the academy is part of the renowned Cambridge Schools network.The ICSE school focuses on the holistic development of students, combining a robust academic curriculum with a wide range of extracurricular a"
"107.S N Memorial Public School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"Established under the guidelines of S. N. Memorial Educational Society, SNM Public School in Dehradun is a premier co-educational English medium school that believes in 'Vasudhaiva Kutumbakam.' This CBSE School in Uttarakhand is a boon for the meritorious and is a blessing to underachievers."
"108.Saigrace Academy International, Dehradun",CBSE,Boarding School (Residential),,,,,"Saigrace Academy International is a prominent day cum residential english medium co-educational school in Dehradun. The school runs classes from playgroup to class XII and affiliated by CBSE, New Delhi. Located in the Doon valley, the school provides state of art infrastructure to prepare students to excel in the field of academics, sports and co-curricular activities."
"109.Sanfort Preschool, Dehradun",,,,,,,"SANFORT is a UK concept preschool located in green valley of Dehradun in Panditwadi. Run under the aegis of internationally acclaimed SANFORT Preschool Chain, known for its innovative curriculum encouraging child to learn by doing fun filled activities."
"110.Sanskar International School, Dehradun","ICSE, ISC",Boarding School (Residential),,,,,"Sanskar International School in Dehradun is a co-ed english medium boarding school in Dehradun. It is affiliated to CISCE, New Delhi and started functioning in 2004. As a top ranked educational institution, SIS Dehradun offers world class facilities best for nourishing and educating young minds."
"111.Saraswati Vidya Mandir Keshav Vidyapeeth, Dehradun",CBSE,Day & Residential School,,Co-Educational,Suddhowala,"INR 1,35,000onwards","Saraswati Vidya Mandir Manduwala is regarded as one of the best day-cum-boarding schools in Dehradun. Established in 2008, Saraswati Vidya Mandir Keshav Vidyapeeth is CBSE-affiliated school spans 80 bighas and offers classes from 5th grade to 12th. The institution is committed to providing a holistic education system aimed at nurturing well-rounded individuals. As a co-educational school, it welcomes both boys and girls and emphasizes a balance between academics and extracurricular activities."
"112.Scholars Home, Dehradun",CBSE,Boarding School (Residential),,Co-Educational,Rajpur Road,"INR 46,000onwards","Scholars Home, Dehradun, is a distinguished co-educational residential school situated on Rajpur Road, Dehradun. Established in 1949 by Smt. Sushila Khanna and affiliated with CBSE, New Delhi, Scholars Home is renowned as one of the oldest and most respected day boarding schools in Dehradun, Uttarakhand. Offering education from kindergarten through to Class XII, the school features spacious classrooms, state-of-the-art laboratories, and welcoming common areas. These facilities are designed to cr"
"113.Seven Oaks School, Dehradun","ICSE, ISC",Boarding School (Residential),,,,,"The Seven Oaks School in Dehradun is an English medium co-educational day and boarding school located in between green hills of Doon valley. Established in 1994, the Seven Oaks School is affiliated to CISCE, New Delhi and provides a high-quality education from Playschool to Class XII."
"114.SHEMROCK Doon, Dehradun",,,,,,,"SHEMROCK Doon is a franchise of the largest Preschool chain, Shemrock Play Schools in Dehradun. The SHEMROCK Doon was started in 2004 to provide a fun learning experience to children in Dehradun."
"115.SHEMROCK Little World, Dehradun",,,,,,,"SHEMROCK Little World is a part of the largest Pre Schools chain in India, Shemrock Playschools. SHEMROCK Little World is located at Jakhan in Dehradun and has started in the year 2014. The Pre School Shemrock Little World is offering a fun and colorful environment for learning to children from Play Group to Kindergarten."
"116.SHEMROCK Motherland, Dehradun",,,,,,,"SHEMROCK Motherland is one of the franchises of the largest Pre Schools chain in India, Shemrock Preschools. Located in Shimla Bypass, SHEMROCK Motherland school in Dehradun has started in the year 2015 and since then providing a fun and colorful environment for learning to children from Play Group to Kindergarten."
"117.SHEMROCK Navchetan, Dehradun",,,,,,,"SHEMROCK Navchetan is a Play School in Dehradun, located at Kalidas Road near IIRS Dehradun. This school in Uttarakhand is a franchise partner of Shemrock Pre Schools, the largest Preschool chain in India. The SHEMROCK Navchetan in Dehradun begins its journey in the year 2013 and from then onwards offering a cheerful and colorful environment of learning to kids from Play Group to Kindergarten."
"118.SHEMROCK Primary Hills, Dehradun",,,,,,,"SHEMROCK Primary Hills is a franchise Pre School of SHEMROCK Group of Preschools in Dehradun. The Shemrock Primary Hills School in Uttarakhand is located in Park road Dehradun, the school has started operations in April 2014. This school in Dehradun is operated under Smt Radharani Memorial Society and provides a cheerful and colorful learning environment to kids from Play Group to Kindergarten."
"119.SHEMROCK Primary Roots, Dehradun",,,,,,,"SHEMROCK Primary Roots is a part of largest Preschools chain in India, Shemrock Playschools. The SHEMROCK Primary Roots school in Dehradun was started in the year 2011 and offering best learning experiences for the children from Play Group to Kindergarten."
"120.SHEMROCK Rainbow, Dehradun",,,,,,,SHEMROCK Rainbow is one of the franchise Preschools chains of Shemrock Playschools in Dehradun. The SHEMROCK Rainbow School in Dehradun was started in the year 2008 and since then it's providing a fun-filled learning environment to kids.
"121.SHEMROCK Rainbow2, Dehradun",,,,,,,"SHEMROCK Rainbow2 is one of the famous Pre School of largest chains of SHEMROCK Play Schools in Dehradun. Located in Mothrowala Road, SHEMROCK Rainbow2 in Dehradun has started in the year 2013 and continue to provide a cheerful and colorful environment of learning to kids from Play Group to Kindergarten."
"122.SHEMROCK Sunshine, Dehradun",,,,,,,"SHEMROCK Sunshine is a Pre School located in Race Course Dehradun and franchise partner of prestigious Preschools chain in India, Shemrock Playschools. The SHEMROCK Sunshine school in Dehradun was started in the year 2009 and ever since continue to provide fun learning environment to kids from Play Group to Kindergarten."
"123.Shigally Hills International Academy, Dehradun","CISCE, New Delhi",Boarding School (Residential),,Girls,Purkul Road,"INR 3,50,000onwards","Shigally Hill International Academy is an esteemed English-medium Girls' boarding school in Dehradun located in the tranquil and picturesque foothills of Doon Valley. Affiliated with the Council for the Indian School Certificate Examinations (CISCE), New Delhi, the academy was established in 2003 and operates under the esteemed Babra Institutes of Education Ltd, headquartered in Nairobi, Kenya.This Uttarakhand-based institution boasts a modern infrastructure that aligns with the standards o"
"124.Shikshankur The Global School, Dehradun",CBSE,Day Scholar,,Co-Educational,Clementown,"INR 50,400onwards","Shikshankur the best Co-Educational Day School, situated in the tranquil Doon Valley, the capital of Uttarakhand, is one of the best schools in Dehradun. Established under the guidance of the Shikshankur Education Society, the school offers education from Nursery to Class 10th. Committed to the highest standards of safety and well-being for children, Shikshankur ensures a secure and nurturing environment. The institution boasts a team of highly qualified and experienced educators who inspire con"
"125.Shivalik Academy, Selaqui",CBSE,Boarding School (Residential),,,,,"Shivalik Academy Selaqui is a co educational english medium day and residential school in Dehradun located in Selaqui. Shivalik Academy Dehradun was started in 1986 and affiliated to CBSE, New Delhi for classes from Play Group to Class XII."
"126.Shiwalik International School, Dehradun","ICSE, ISC",Boarding School (Residential),,,,,"Shiwalik International School in Dehradun is a co-educational english medium residential school at the foothills of Himalayas in Dehradun. It follows the pattern of CISCE Council for Indian School Certificate Examination, New Delhi. Shiwalik International School Dehradun was established in 1994 and offers education from playgroup till Class XII."
127.Shri Guru Ram Rai Public School Dehradun,CBSE,Day,,Co-Educational,,,"Shri Guru Ram Rai Public School Dehradun was established in July 1983 by Bhramleen Mahant Shri Indresh Charan Das Ji Maharaj in the heart of the Dehradun city, with easy accessibility from different parts of the city. SGRR Public School Patel Nagar Dehradun started as a primary school, which has now been transformed into a full-fledged senior secondary school and is presently earning a good reputation in the society.This best CBSE school in Dehradun is the gateway to SGRR Institute of science &a"
"128.Shri Ram Centennial School, Dehradun","ICSE, IGCSE",Boarding School (Residential),,Co-Educational,Silaqui,"INR 6,00,000onwards","Located a lush green environment just outside the Dehradun city, Shri Ram Centennial School co-ed Day Boarding & Boarding School in Dehradun, which offers quality education with the finest accommodation and living facilities to students from grades 4 to 12 for Boarding and from 2 to 12 for Day Boarding. Shri Ram Centennial School in Dehradun is affiliated to the Indian Certificate of Secondary Education (ICSE) and intends to also affiliate to International General Certificate Secondary Educa"
"129.SLM Public School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,SLM Public School in Dehradun is a dynamic place which focuses on complete growth of a child’s mind. This Dehradun school offers an exhaustive curriculum model which is a mix of academic and creative learning. Kids are encouraged to learn new things. A protective environment is provided to the students where they get to acquire moral values and principles.
"130.Snow Flakes School, Dehradun",,,,,,,Snow Flakes School is a playschool in Dehradun that offers a nurturing environment to the toddlers so that they can blossom into good and caring child and make the best of his career and is able to face the stiff competition. The school also imparts the book knowledge with a goal to inculcate moral and social values.
131.Social Baluni Public School,CBSE,Day,,Co-Educational,,,Social Baluni Public School Dehradun is a Co-Educational Senior Secondary school in Dehradun that is affiliated to the Central Board of Secondary Education (CBSE). The school has been running formally underneath the Dr. Baluni Group of Education.
"132.Spring Hills School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"Spring Hills School is co-ed school located in Dehradun city. The scholl was established in July 2003 and now reach to new heights with the successful running classes to Class VIII. The school has English as education medium of Instruction and Hindi is taught as a second language. Moreover, the members of the school staff are highly qualified and very competent."
"133.St Kabeer Academy, Dehradun","CBSE, New Delhi",,,,,,"St Kabeer Academy is an English medium co-education school located in Miyanwala, Dehradun. The schools provide classes from playgroup to Class XII. The Dehradun school is affiliated with CBSE, New Delhi, and follows the CBSE curriculum."
"134.St Mary’s Convent Sr Sec School, Vikasnagar","CBSE, New Delhi",Day Scholar,,,,,"St Mary’s Convent Sr Sec School is a co-education English medium school in Vikasnagar, on the outskirts of Dehradun city. This Dehradun school is affiliated to CBSE and follows the All India Senior Secondary Examination curriculum for classes X and XII. The school was set up in 1988 By 'Franciscan Sisters of Our Lady of Graces’, a registered Charitable Society."
"Anne’s School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"St. Anne’s School is a co-educational English medium school located in Nehru Colony, Dehradun. Affiliated to CBSE, this Dehradun school aims to impart quality education to its students so that they are able to take up the challenges they face with confidence and belief and become independent. The school has classes from Play Group to Class IX."
Nursery School Dehradun,,,,,,,"Established in 1979, St. Nursery School is the preparatory school in Dehradun renowned for its outstanding results and nurturing of young minds. It has classes from Pre-Nursery to Class II. The school is located centrally in the Doon valley and hence can be reached from any area. Each class is limited to fifteen to twenty students and students are encouraged to speak in English."
"137.Summer Valley School, Dehradun","ICSE, ISC",Boarding School (Residential),,,,,"Summer Valley School, Dehradun is an English medium co-educational boarding school in Dehradun. Affiliated to Council for the ICSE, New Delhi, Summer Valley School was set up in 1994. The school conduct classes from LKG to XII."
"138.Summerfield School, Dehradun","CBSE, New Delhi",Boarding School (Residential),,,,,"Summerfield School is one of the best CBSE Schools in Dehradun. The school is located in sylvan surroundings on the western edge of the Doon Valley tucked between the Garhwal Himalayas in the North and the Shivalik ranges in the south. This boarding school in Uttarakhand is located on NH 123, 36km from Dehradun railway station. The school is affiliated to the CBSE, New Delhi up to Class-XII."
"139.Sunrise Academy, Dehradun",C.I.S.C.E.,Day Scholar,,,,,"Sunrise Academy, established in 1998, is a leading co-educational senior secondary school located in Dehradun, affiliated with the ICSE Council of Education. Catering to students from Pre-Primary through Class XII, the school features state-of-the-art infrastructure, including modern classrooms, well-equipped laboratories, smart classrooms, a library, and extensive Wi-Fi and CCTV coverage throughout the campus and transport facilities are also available.The academy provides a rich array of extra"
"140.The Altus International School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,Altus International School in Dehradun was established by (Late) Mr. K.S. Nagar and family. The aim of Altus International School is not only to educate students but to mould them into responsible citizens of the country. This school in Uttarakhand provides a warm and relaxed environment where children embody self-confidence and innovative thinking process.
"141.The Arcadia School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,Arcadia School in Dehradun is a co-educational private unaided institution that imparts education to the students from class 1 to 8. The medium of instruction is English. The school imparts quality education to its students through its academics while at the same time give importance to sports and co-curricular activities.It is one of the best schools in Dehradun.
"142.The Aryan School, Dehradun","ICSE, ISC",Boarding School (Residential),,Co-Educational,Mussoorie Road,"INR 2,60,000onwards","The Aryan School is a premier co-educational boarding & day school in Dehradun established in 2001, and affiliated with the C.I.S.C.E. Board. Offering a comprehensive curriculum from nursery through class 12, the school is renowned for its exceptional facilities, including a tennis hall, yoga and meditation area, swimming pool, badminton court, and a multidisciplinary stadium. As one of the best boarding schools in Uttarakhand, the school has residential setup features separate hostels for b"
143.The Bhagirathi International School,CBSE,Boarding,,Co-Educational,,,"Bhagirathi International School is a pioneer co-educational English medium school in Dehradun. This Dehradun International school was commenced in the year 2012, beneath the benefits of the society The Bhagirathi Educational Welfare Society established in 2010. The school commenced with few college students and a team of dedicated staff with this humble establishment the school started out its endless journey in the direction of carrying out its mission of offering great schooling to the ch"
"Sec. School, Dehradun","CBSE, New Delhi",Boarding School (Residential),,,,,"Established in 1989, the Cambridge Sr. Sec. School is an English medium co-educational school affiliated to CBSE New Delhi and offers boarding facilities as well. This boarding school in Dehradun was initially founded as a preparatory school for boys & girls in the name of ""Sarthak Sansthan"" at Indra Nagar Colony, Vasant Vihar, Dehradun. In April '95 ""Sarthak Sansthan"" acquired the name of ""The Cambridge School"" under its ambit for the cause of universal and quality education with the motto"
"145.The Doon Girls School, Dehradun",,Boarding School (Residential),,Girls,Dalanwala,"INR 9,50,000onwards","The Doon Girls' School is an all-girls residential school in Dehradun, affiliated with CISCE, New Delhi, and offers classes from I to XII. This school in Dehradun fosters collaborative learning, where students work together to enhance their educational experience. Recognizing the importance of child psychology, the school employs a team of psychologists and special educators who regularly engage with students and train the staff to better support their needs.The Doon Girls' School's mi"
146.The Doon Grammar School Dehradun,CBSE,Day,,Co-Educational,,,Sound schooling objectives at the refinement of both personality and character. This CBSE school in Dehradun strives and continually works to weed out what is undesirable and cautiously nurtures what is desirable.
"147.The Heritage School, Dehradun","ICSE, ISC",Day Scholar,,,,,"Established in 1953, The Heritage School is a co-educational school in Dehradun Uttarakhand. The medium of instruction is English. This Dehradun school is affiliated to the Council of Indian School Certificate Examination (ISCE). A well-known school in the city, the school aims to inculcate a safe and secure learning environment in which the student learns from the best."
"148.The Himalayan Public School, Dehradun",,Day Scholar,,,,,Himalayan Public School is one of the premier schools in Dehradun. The school focuses on providing a basic foundation of quality education. It aspires to inculcate strong values by combining academics and extracurricular activities. HPS is here to groom the students so that they develop decision-making skills and ethical values.
149.The Horizon School Dehradun,CBSE,Day,,Co-Educational,,,"The Horizon School Dehradun was established in the year 2008 by The Horizon Society and is a co-educational, senior secondary school affiliated to CBSE New Delhi. The CBSE school in Dehradun is located at Jolly Grant, which is 26 km from Dehra Dun city.The school has a campus of 5.5 acres and is located in lush green surroundings with the Thano range of reserve forests at its north adding to the charm. This best CBSE school in Dehradun has spacious classrooms and big playgrounds."
"150.The Indian Academy, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"The Indian Academy is an English medium co-educational school located in Dehradun. The school is shaping the future citizens of the nation by providing a quality education from Nursery to Class 12. This school in Dehradun is affiliated with CBSE, New Delhi."
"151.The Indian Cambridge School, Dehradun","ICSE, ISC",Boarding School (Residential),,,,,"Located amidst green hills of doon valley, The Indian Cambridge School is an english medium co-educational day and boarding school in Dehradun. Founded in 1990, it conducts education as per CISCE Council for Indian School Certificate Examination, New Delhi. It offers quality education to the children from Play Group to Class XII."
"152.The Indian Public School, Dehradun",CBSE,Boarding School (Residential),,Co-Educational,Silaqui,"INR 5,75,000onwards","The Indian Public School (IPS) in Dehradun is a residential, English medium co-educational institution established in 2001 by Shri R.K. Sinha. Spanning 80 acres, the school features a balanced 20:80 ratio of buildings to green space, creating a conducive learning environment. Affiliated with the ICSE Board, New Delhi, this Boarding school in Dehradun offers a comprehensive education from Kindergarten to Class XII for both domestic and international students. This school in Dehradun provides sepa"
"153.The Montessori School, Dehradun","ICSE, ISC",Day Scholar,,,,,The Montessori School in Dehradun is a co-educational school in Dehradun affiliated to the Council of Indian School Certificate Examinations (CISCE). This ICSE school offers education from Playgroup to Class XII. The school prepares its students for the Indian Certificate of Secondary Education (ISCE) examinations for standard 10 and Indian School Certificate (ISC) examinations for standard 12. The medium of instruction is English.
"154.The OASIS School, Dehradun",CISCE,Day & Residential School,,Co-Educational,Raipur,"INR 3,00,000onwards","The Oberai School of Integrated Studies (The OASIS) is situated in the scenic Doon Valley, along the Song River, surrounded by lush forests and offering stunning views of the Mussoorie hills. The school follows a co-educational day-boarding format, operating from 8 AM to 4 PM, providing students with a balanced and enriching experience. With a strong focus on both academic excellence and holistic development, the school offers quality sports and extra-curricular activities. The OASIS is dedicate"
"155.The Poly Kids School, Dehradun",,,,,,,The Poly Kids school is a one of the largest chains of play schools in Dehradun. The school focus on "Learning can be fun" motto and provides a healthy learning and development of child. The activities in its Toddler and Kindergarten helps child to develop brains in their early childhood. The school follows a curriculum based on international research and have a blend of the traditional and the modern education.
"156.The Presidency International School, Dehradun","ICSE, ISC",Boarding School (Residential),,,,,"The Presidency International School in Dehradun is an English medium, co-educational residential and day scholar school in the green hills of Dehradun. The school is located at Bhaniyawala, Dehradun. It is affiliated to Council for the Indian School Certificate Examinations, New Delhi. This Dehradun boarding school conduct classes from Pre-school to XII."
"157.The Royal College, Dehradun","CBSE, New Delhi",Boarding School (Residential),,Co-Educational,Vikasnagar,"INR 3,00,000onwards","Affiliated to CBSE, The Royal College in Uttarakhand is a Co-Educational, Day boarding cum residential School imparting education to the students of Class Nursery to XII. This CBSE school is situated at Rajawala (Dumet), at the foot of the Shivalik – amongst whistling woods spread over an area of 25 acres, near Baarwala, Dak Pathar at a distance of 50 Km from Dehradun city."
"158.The Vivekananda School, Dehradun","CBSE, New Delhi",Boarding School (Residential),,,,,The Vivekananda School in Dehradun is a CBSE-affiliated co-educational institution founded in the year 1976 by the Indian School Society with an aim of providing social integrative education to the children. This CBSE school offers classes from Class I to XII with additional vocational courses for class 12th.
